Type,Policy Document ID,Title,Translated title,Source title,Source country,Source type,Source sub-type,Published on,Cited research titles,Cited research DOIs,Topics,Document URL,Text
Policy citation,worldbank-65a3aa03b3308703fd94cebe48df8a5c,World Development Report 2024,,World Bank,IGO,igo,,8/1/24,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Renewable energy  ，Greenhouse gas emissions  ，Low-carbon electricity  ，Energy development  ，Photovoltaics  ，Climate change mitigation  ，Carbon capture and storage  ，Energy intensity  ，Cost of capital  ，Energy storage  ，International Energy Agency  ，Hydroelectricity  ，Developing country  ，Wind power  ，Economic growth  ，Electrical grid  ，Bioenergy with carbon capture and storage  ，Gross domestic product  ，Low-carbon economy  ，Net zero emissions  ，Power station  ，Efficient energy use  ，Natural gas  ，Public utility  ，Electricity generation  ，Photovoltaic system  ，World Trade Organization  ，Infrastructure  ，Combined cycle power plant  ，Energy conservation  ，Geothermal power  ，Nature  ，Energy  ，Economy  ，Sustainable energy  ，Fuel  ，Green industrial policy  ，Cobalt  ，Subsidy  ，Direct air capture  ，LEED  ，World energy supply and consumption  ，Solar power  ，Emission intensity  ，Mining  ，Sustainable development  ，Green hydrogen  ，Economy and the environment  ，Sustainable technologies  ，Climate change  ，Economic development  ，Electric power transmission  ，Feed-in tariff  ，Coal  ，Merit order  ，Gross national income  ，Innovation  ，Economic inequality  ，Poverty  ，Education  ，Market (economics)  ，Productivity  ，Social mobility  ，Entrepreneurship  ，Protectionism  ，Tax  ，Competition  ，Startup company  ，Middle class  ，Carbon price  ，Technology  ，Power purchase agreement  ，Creative destruction  ，Capital (economics)  ，Human capital flight  ，Joseph Schumpeter  ，Export  ，Income  ，Policy  ，Economics  ，United States  ，Emerging market  ，Investment  ，Measures of national income and output  ，Middle income trap  ，Capitalism  ，Mercosur  ，European Union  ，Small and medium-sized enterprises  ，State-owned enterprise  ，Labour economics  ，Human capital  ，Price  ，Business,https://hdl.handle.net/10986/41919,
Policy citation,unitednations-3b44a984f783b7ef0276b8c5dce022da,World development report 2024 :the middle-income trap,,United Nations,IGO,igo,,8/1/24,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,,https://digitallibrary.un.org/record/4060754?ln=en,
Policy citation,ifode-43fc09be550ea4f62b78cc2186c796a8,Sequencing Carbon Dioxide Removal into the EU ETS,,ifo Institut,Germany,think tank,,6/19/24,Addressing carbon Offsetters’ Paradox: Lessons from Chinese wind CDM,10.1016/j.enpol.2013.09.021,Carbon price  ，European Union Emissions Trading System  ，Bioenergy with carbon capture and storage  ，Net zero emissions  ，Climate change mitigation  ，Direct air capture  ，Clean Development Mechanism  ，Carbon dioxide removal  ，Carbon emission trading  ，Greenhouse gas emissions  ，Externality  ，Policy  ，European Union  ，Climate change  ，Governance  ，Central bank  ，Economy  ，Carbon offsets and credits  ，Regulatory compliance  ，Subsidy  ，Risk  ，Politics of climate change  ，Emissions trading  ，Demand  ，Carbon capture and storage  ，Greenhouse gas  ，Biomass (energy)  ，Bioenergy  ，Carbon tax  ，Sustainability  ，Option (finance),https://www.cesifo.org/en/publications/2024/working-paper/sequencing-carbon-dioxide-removal-eu-ets,
Policy citation,fgvbr-763f648febf0608af2088a4619125dfa,Gestão climática e energética das empresas chinesas no setor elétrico brasileiro,Climate and energy management of Chinese companies in the Brazilian electricity sector.,Fundação Getulio Vargas,Brazil,think tank,,6/6/24,Challenges and opportunities for carbon neutrality in China,10.1038/s43017-021-00244-x,Electricity generation  ，Low-carbon economy  ，Green hydrogen  ，Renewable energy  ，China  ，Wind power  ，Sustainability  ，Greenhouse gas  ，Solar energy  ，CPFL Energia  ，Brazil  ，Energy  ，Photovoltaics  ，Hydroelectricity  ，Economy  ，Economics  ，Five-year plans of China  ，Climate change mitigation  ，Electric power industry  ，Hydrogen  ，Climate change  ，Nature  ，Academic publishing  ，Research  ，Investment  ，United Nations  ，Natural environment  ，United Nations Global Compact  ，Fossil fuel  ，Wind farm  ，Pará  ，Strategy,https://hdl.handle.net/10438/35550,
Policy citation,potsdaminstitute-580b2707e342d287c00f485405d41f33,The State of Carbon Dioxide Removal,,Potsdam-Institut für Klimafolgenforschung (PIK),Germany,think tank,,6/3/24,Challenges and opportunities for carbon neutrality in China,10.1038/s43017-021-00244-x,Carbon dioxide removal  ，Carbon sequestration  ，Climate change mitigation  ，Greenhouse gas  ，Carbon capture and storage  ，Carbon sink  ，Direct air capture  ，Bioenergy with carbon capture and storage  ，Net-zero emissions  ，Greenhouse gas emissions  ，Enhanced weathering  ，Biochar  ，Afforestation  ，Climate change  ，Greenhouse effect  ，Carbon offsets and credits  ，Patent  ，Earth sciences  ，Climate forcing  ，Greenhouse gases  ，Carbon cycle  ，Reforestation  ，Land use  ， land-use change  ， and forestry  ，Natural environment  ，Special Report on Global Warming of 1.5 °C  ，Climate variability and change  ，Startup company  ，Carbon dioxide  ，Greenhouse gas inventory  ，Environmental impact of fossil fuels  ，Wetland  ，Environmental impact  ，Soil  ，REDD and REDD+  ，Ocean fertilization  ，Ocean  ，Ocean acidification  ，Research  ，Climeworks,https://publications.pik-potsdam.de/pubman/item/item_32030_2,
Policy citation,ukparliament_select-942d383b69a98725178d135ea928a661,UK Trade for Net Zero - Trade Policy Group at YLS Ahmed Khan (Student at Yale Law School) (NZT0012),,UK Parliament Select Committee Publications,UK,government,,5/8/24,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Carbon Border Adjustment Mechanism  ，Climate change mitigation  ，Net zero emissions  ，Greenhouse gas emissions  ，EU Carbon Border Adjustment Mechanism  ，Clean technology  ，Low-carbon economy  ，Carbon price  ，Economy  ，Climate change  ，Environmental social science  ，Natural environment  ，Free trade agreement  ，Renewable energy  ，Subsidy  ，Economy and the environment  ，Energy  ，Nature,https://committees.parliament.uk/writtenevidence/129843/pdf/,
Policy citation,igesjp-da8f5b5b457a1f89a538f5f3d5b63404,Advancing the Energy Transition through Industrial Policy: A Transatlantic Perspective with Lessons for Japan,,Institute for Global Environment Strategies,Japan,think tank,,5/1/24,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Green industrial policy  ，Sustainability  ，Clean technology  ，EU Carbon Border Adjustment Mechanism  ，European Green Deal  ，Climate change mitigation  ，Infrastructure  ，Net-zero emissions  ，Sustainable energy  ，Greenhouse gas emissions  ，Circular economy  ，European Union Emissions Trading System  ，Climate change policy of the United States  ，Policy  ，Inflation Reduction Act  ，Low-carbon economy  ，Climate resilience  ，Innovation  ，Renewable energy  ，Energy transition  ，Green economy  ，Climate change  ，Politics of climate change  ，Economy  ，Natural environment  ，Energy development  ，Economic growth  ，Environmental social science  ，Infrastructure Investment and Jobs Act  ，Environmental technology  ，Supply chain  ，Strategy  ，Sustainable development  ，European Union  ，United States Environmental Protection Agency  ，Carbon emission trading  ，Efficient energy use  ，Industrial policy  ，Green New Deal  ，Technology  ，CHIPS and Science Act  ，Economy and the environment,https://www.iges.or.jp/en/pub/industrial-policy-japan/en,
Policy citation,csis-d5ba7977cc8d3133b93f8ec5f4bc6f88,Why Decarbonization Requires Globalization: An Interview with Michael Davidson - Big Data China,,Center for Strategic and International Studies,USA,think tank,,2/22/24,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Low-carbon economy  ，Climate change mitigation  ，Energy transition  ，Electrical grid  ，Economy  ，Energy  ，Nature  ，China  ，Environmental social science  ，Coal  ，Sustainable energy  ，Technology  ，Center for Strategic and International Studies  ，Research  ，Engineering,https://bigdatachina.csis.org/why-decarbonization-requires-globalization-an-interview-with-michael-davidson/,
Policy citation,unitednations-e965d20fa78f13a48b03a69258fb294b,Emissions gap report 2024 :no more hot air please : with a massive gap between rhetoric and reality， countries draft new climate commitments,,United Nations,IGO,igo,,1/1/24,Climate change impacts on planned supply–demand match in global wind and solar energy systems,10.1038/s41560-023-01304-w,Nationally determined contribution  ，Net zero emissions  ，Climate change mitigation  ，Greenhouse gas emissions  ，Climate change  ，Paris Agreement  ，Carbon budget  ，Greenhouse gas  ，United Nations Framework Convention on Climate Change  ，Kyoto Protocol  ，Land use  ， land-use change  ， and forestry  ，World energy supply and consumption  ，Global stocktake  ，Renewable energy  ，Global warming potential  ，IPCC Sixth Assessment Report  ，Climate forcing  ，Climate variability and change  ，Natural environment  ，International Energy Agency  ，Environmental issues with fossil fuels  ，Carbon offsets and credits  ，Environmental impact  ，Global environmental issues  ，Intergovernmental Panel on Climate Change  ，Carbon dioxide  ，United Nations Climate Change conference  ，Nature  ，Societal collapse  ，Fossil fuel  ，Fuel  ，Electricity generation  ，Carbon sink  ，G20  ，2023 United Nations Climate Change Conference  ，Greenhouse gases  ，Politics of climate change  ，Greenhouse effect,https://digitallibrary.un.org/record/4064527?ln=en,
Policy citation,wto-0685511dbb89b182771c36c8bc42a4ed,Trade Policy Tools for Climate Action,,World Trade Organization,IGO,igo,,11/28/23,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Climate change mitigation  ，Carbon price  ，Subsidy  ，Efficient energy use  ，Low-carbon economy  ，World Trade Organization  ，Climate change  ，Agriculture  ，Climate change adaptation  ，Greenhouse gas emissions  ，Tariff  ，International Energy Agency  ，Agreement on the Application of Sanitary and Phytosanitary Measures  ，Tax  ，Trade facilitation  ，Sustainability  ，Intergovernmental Panel on Climate Change  ，Policy  ，Government procurement  ，Carbon emission trading  ，Renewable energy  ，Electric vehicle  ，Photovoltaics  ，Climate resilience  ，Finance  ，Carbon tax  ，Export  ，Market access  ，Customs  ，Paris Agreement  ，Trade  ，Food system  ，Overfishing  ，Nationally determined contribution  ，Developing country  ，Coal  ，Carbon pricing in Australia  ，Sustainable energy  ，Net zero emissions  ，Procurement  ，Economy  ，Carbon footprint  ，Food security  ，International trade  ，Effects of climate change  ，Infrastructure  ，Energy conservation  ，Climate-smart agriculture  ，Petroleum  ，Greenhouse gas  ，Asia-Pacific Economic Cooperation  ，Fossil fuel  ，Least developed countries  ，Market (economics)  ，2023 United Nations Climate Change Conference  ，Food safety  ，Hybrid vehicle  ，Natural environment  ，Competition (economics)  ，Fuel  ，World Bank  ，International Finance Corporation  ，International Institute for Sustainable Development  ，Small and medium-sized enterprises  ，Risk  ，World Economic Forum  ，Supply chain  ，Food and Agriculture Organization  ，Standardization  ，Export restriction  ，Regulatory compliance  ，Clean technology  ，Pest (organism)  ，Emission intensity  ，Bank  ，IPCC Sixth Assessment Report  ，Dumping (pricing policy)  ，Gross domestic product  ，Fossil fuel subsidies  ，Air pollution  ，Illegal  ， unreported and unregulated fishing  ，Commercial policy  ，Green economy  ，Livestock  ，Trade finance  ，Border control  ，Innovation  ，OECD  ，United Nations  ，International Monetary Fund  ，Agricultural policy,https://www.wto.org/english/res_e/publications_e/tptforclimataction_e.htm,
Policy citation,wto-368580d7bdd7de26595669902f278610,Global Value Chain Development Report 2023,,World Trade Organization,IGO,igo,,11/24/23,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Cost of living  ，Energy Charter Treaty  ，OPEC  ，Renewable energy  ，Net zero emissions  ，Energy transition  ，Energy development  ，Climate change  ，Climate change mitigation  ，International Energy Agency  ，World Trade Organization  ，Russia in the European energy sector  ，Petroleum  ，Wind power  ，Renewable energy commercialization  ，International sanctions during the Russo-Ukrainian War  ，Economic sanctions  ，European Union  ，Electric vehicle  ，Global energy crisis (2021–present)  ，Dispute settlement in the World Trade Organization  ，World energy supply and consumption  ，Greenhouse gas emissions  ，Solar power  ，Price of oil  ，Natural gas  ，Energy security  ，Low-carbon economy  ，Paris Agreement  ，Russia  ，Supply chain  ，Energy  ，Economy  ，Photovoltaics  ，General Agreement on Tariffs and Trade  ，International sanctions during the Russian invasion of Ukraine  ，Special Report on Global Warming of 1.5 °C  ，Sustainable energy  ，Nature  ，Trade  ，Coal  ，Electrical grid  ，Fuel  ，Fossil fuel power station  ，Global value chain  ，Market access  ，Electricity generation  ，Tariff  ，Russian invasion of Ukraine  ，COVID-19 pandemic  ，China  ，Hydroelectricity  ，Coal-fired power station  ，Inflation  ，Carbon Border Adjustment Mechanism  ，Carbon footprint  ，Sustainability  ，Innovation  ，Export  ，2007–2008 financial crisis  ，Gross domestic product  ，Real and nominal value  ，Developing country  ，Emission intensity  ，Multinational corporation  ，Market (economics)  ，Policy  ，Integrated circuit  ，Economic inequality  ，Semiconductor fabrication plant  ，Employment  ，Informal economy  ，Labour economics  ，Small and medium-sized enterprises  ，Ukraine  ，Price  ，International trade  ，Globalization  ，Spillover (economics)  ，United States  ，Air pollution  ，Risk  ，Consumer price index  ，Value chain  ，Exchange rate  ，Fabless manufacturing  ，Mortgage  ，Climate resilience  ，Asian Development Bank  ，Pandemic  ，Business  ，Environmental economics  ，Index (economics)  ，COVID-19  ，Economics  ，Outsourcing  ，TSMC  ，Harmonized System  ，Technology  ，2021–2023 inflation,https://www.wto.org/english/res_e/publications_e/gvc_dev_rep23_e.htm,
Policy citation,unfccc-456083578ca8a97aa5e9b07507995b2c,Call for input 2023 - Issues included in the annotated agenda and related annexes of the eighth meeting of the Article 6.4 Supervisory Body-Berkeley Carbon Trading Project， UC,,United Nations Framework Convention on Climate Change,IGO,igo,,10/30/23,Addressing carbon Offsetters’ Paradox: Lessons from Chinese wind CDM,10.1016/j.enpol.2013.09.021,Carbon offsets and credits  ，Clean Development Mechanism  ，REDD and REDD+  ，Market-based environmental policy instruments  ，Carbon finance  ，Air pollution emissions  ，Climate forcing  ，Climate change policy  ，Climate change  ，Greenhouse gases  ，Natural environment  ，Environmental policy  ，Carbon accounting  ，Economy  ，Carbon emission trading  ，Climate change mitigation  ，Environmental social science  ，Methodology  ，Carbon  ，Environmental economics  ，Air pollution  ，Economics of sustainability  ，Economy and the environment  ，Sustainable development,https://unfccc.int/documents/632915,
Policy citation,agorae-f9056107535021709f9d27cead22135d,Publication - Ensuring resilience in Europe’s energy transition,,Agora Energiewende,Germany,think tank,,9/11/23,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Clean technology  ，Energiewende  ，Photovoltaics  ，International Energy Agency  ，Lithium iron phosphate battery  ，European Union  ，Carbon neutrality  ，Supply chain  ，Competition (economics)  ，Subsidy  ，Lithium nickel manganese cobalt oxides  ，European Green Deal  ，Procurement  ，Offshore wind power  ，Sustainable energy  ，Renewable energy  ，Value chain  ，Low-carbon economy  ，Infrastructure  ，Photovoltaic system  ，Manufacturing  ，Cobalt  ，Risk  ，Climate change mitigation  ，Sustainability  ，Wind power  ，Tariff  ，Recycling  ，Climate resilience  ，Critical Raw Materials Act  ，Inflation Reduction Act of 2022  ，Government spending  ，Resilience (engineering and construction)  ，Investment  ，Wind turbine  ，Greenhouse gas emissions  ，Economy  ，Electrolysis  ，Euro  ，Supply chain management  ，Electric battery  ，Heat pump  ，Tax  ，Bank  ，Rare-earth element  ，Polycrystalline silicon  ，Innovation  ，Nature  ，Budget of the European Union  ，Fiscal policy  ，Government procurement in the European Union  ，China  ，Economic growth  ，Insurance  ，Solar power  ，Inflation  ，Next Generation EU  ，Proton-exchange membrane fuel cell  ，Technology  ，Capital expenditure  ，Electric vehicle  ，Energy development  ，Government procurement  ，Mining  ，Cost  ，Lithium,https://www.agora-energiewende.de/en/publications/ensuring-resilience-in-europes-energy-transition/,
Policy citation,wto-0f6e2f0b31471176fd947d5ee18e6c90,World Trade Report 2023 — Re-globalization for a secure， inclusive and sustainable future,,World Trade Organization,IGO,igo,,9/1/23,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,OECD  ，World Trade Organization  ，International Trade Centre  ，International Energy Agency  ，United Nations Environment Programme  ，International Monetary Fund  ，United Nations Conference on Trade and Development  ，Economics  ，International Labour Organization  ，Globalization  ，Sustainability  ，Trade  ，China–United States trade war  ，International economics  ，Protectionism  ，International trade  ，Economy  ，International relations  ，Free trade  ，Small and medium-sized enterprises  ，Sustainable development  ，Global value chain  ，European Union  ，World economy  ，Subsidy  ，Global politics  ，Sustainable Development Goals  ，G20  ，Export  ，Innovation  ，Tariff  ，European Commission  ，Politics  ，Market (economics)  ，Climate change  ，Labour economics  ，Economies  ，Economic inequality  ，Peterson Institute for International Economics  ，Shangri-La Dialogue  ，Climate change mitigation  ，Policy  ，World Bank  ，Asian Development Bank  ，Business  ，China  ，Cost of living  ，Poverty  ，Greenhouse gas emissions  ，Economic growth  ，Gross domestic product  ，Poverty reduction  ，Market access  ，Least developed countries  ，Developing country  ，Agreement on the Application of Sanitary and Phytosanitary Measures  ，Convergence (economics)  ，Supply chain  ，Competition (economics)  ，Productivity  ，Trade agreement  ，Non-tariff barriers to trade  ，Renewable energy  ，Commercial policy  ，Environmental governance  ，Multilateralism  ，African Continental Free Trade Area  ，Economic integration  ，Agriculture  ，Risk  ，Sustainable energy  ，Extreme poverty  ，Environmental policy  ，Technology  ，Low-carbon economy  ，COVID-19 pandemic  ，Input–output model  ，Transatlantic Trade and Investment Partnership  ，2007–2008 financial crisis  ，Redistribution of income and wealth  ，Value chain  ，Commerce  ，Value added  ，Economic globalization  ，E-commerce  ，Habitat fragmentation  ，Economic development  ，Friendshoring  ，Information and communications technology  ，Net zero emissions  ，Security  ，International business  ，Green growth  ，Intellectual property  ，Outsourcing  ，United States  ，Carbon Border Adjustment Mechanism  ，Photovoltaics  ，World Economic Forum  ，Manufacturing,https://www.wto.org/english/res_e/publications_e/wtr23_e.htm,
Policy citation,ecologic-c3be4fc6b91aae29e68266bf8d713eaa,Comparing Policy Options to Address Export-related Carbon Leakage,,Ecologic Institute,Germany,think tank,,6/20/23,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Climate change mitigation  ，European Union Emissions Trading System  ，Carbon price  ，European Green Deal  ，Carbon neutrality  ，European Union  ，Subsidy  ，Low-carbon economy  ，Greenhouse gas emissions  ，Innovation  ，Export  ，Politics of climate change  ，Emissions trading  ，World Trade Organization  ，Competition (economics)  ，Policy  ，Steelmaking  ，Climate finance  ，Renewable energy  ，Research and development  ，Emission intensity  ，Carbon dioxide removal  ，Tax  ，Option (finance)  ，Finance  ，Market (economics)  ，Risk  ，Price  ，Economy  ，Investment  ，Carbon leakage  ，Economies of scale  ，International trade  ，Intergovernmental Panel on Climate Change  ，Steel  ，Incentive  ，European Commission  ，Energy transition  ，Infrastructure  ，Dumping (pricing policy)  ，Rebate (marketing)  ，Carbon Border Adjustment Mechanism  ，Trade  ，Clean technology  ，Cost  ，Sustainable finance  ，Industrial policy  ，Council of the European Union  ，Business  ，Auction,https://www.ecologic.eu/19263,
Policy citation,banquedefrance-a94f8ded7df925994d2942c30978e0e5,La Chine peut-elle transformer le défi de la transition climatique en opportunité ?,Can China transform the challenge of climate transition into an opportunity?,Banque de France,France,government,,6/15/23,Challenges and opportunities for carbon neutrality in China,10.1038/s43017-021-00244-x,China  ，Coal  ，Renewable energy  ，Low-carbon economy  ，Energy transition  ，World energy supply and consumption  ，Net zero emissions  ，United States  ，Energy mix  ，Economic growth  ，Carbon dioxide  ，Economy  ，Energy  ，Economy of China  ，Fossil fuel  ，Green bond  ，Nature  ，Gross domestic product  ，World Bank  ，Efficient energy use  ，European Union  ，Bank  ，Wind power  ，France  ，Sustainable development,https://www.banque-france.fr/fr/publications-et-statistiques/publications/a-chine-peut-elle-transformer-le-defi-de-la-transition-climatique-en-opportunite,
Policy citation,worldbank-a1a0891dd87aef08a57647384ca98283,Electric Mobility and Power Systems: Impacts and Mitigation Strategies in Developing Countries,,World Bank,IGO,igo,,4/24/23,Modeling the impact of EVs in the Chinese power system: Pathways for implementing emissions reduction commitments in the power and transportation sectors,10.1016/j.enpol.2020.111962,Electric vehicle  ，Electrical grid  ，Plug-in hybrid  ，Smart charging  ，Battery electric vehicle  ，Vehicle-to-grid  ，Variable renewable energy  ，Electric power distribution  ，Electric power transmission  ，Smart grid  ，Climate change mitigation  ，Renewable energy  ，Charging station  ，Demand response  ，Battery charger  ，Solar power  ，Electricity generation  ，Electric power quality  ，Infrastructure  ，International Energy Agency  ，Public utility  ，Photovoltaics  ，World energy supply and consumption  ，Hybrid electric vehicle  ，Peaking power plant  ，Electric battery  ，Developing country  ，Ancillary services (electric power)  ，Efficient energy use  ，Grid energy storage  ，Transport  ，Economic growth  ，Kilowatt-hour  ，Power electronics  ，Energy  ，Electric power  ，Electrical engineering  ，Nature  ，Electricity  ，Economy  ，Physical quantities  ，Power (physics)  ，Technology  ，Distributed generation  ，Fuel cell vehicle  ，Power outage  ，Electricity pricing  ，Sustainability  ，Fossil fuel power station  ，Transformer  ，Consumption (economics)  ，Electric vehicle battery  ，Direct current  ，Low-carbon economy  ，Policy  ，Photovoltaic system  ，Greenhouse gas  ，Electric energy consumption  ，Electricity market  ，Vehicle  ，Engine  ，Reliability engineering  ，Energy development  ，Sustainable technologies  ，Microgrid  ，Demand  ，Power inverter  ，Emission intensity  ，Greenhouse gas emissions  ，Electrical substation  ，Alternating current  ，Hydroelectricity  ，Electromagnetism  ，Load profile  ，Coal  ，Fuel,https://openknowledge.worldbank.org/handle/10986/39853,
Policy citation,grantham-6997f76275b0001700dca4f58affd5c9,Embracing the new paradigm of green development - Grantham Research Institute on climate change and the environment,,Grantham Institute,UK,think tank,,2/16/23,Challenges and opportunities for carbon neutrality in China,10.1038/s43017-021-00244-x,Solar power  ，Carbon neutrality  ，Sustainability  ，Low-carbon economy  ，Renewable energy  ，Economic growth  ，Transport  ，Electric vehicle  ，Agriculture  ，Climate change mitigation  ，Carbon accounting  ，Greenhouse gas emissions  ，Sustainable finance  ，Energy development  ，Infrastructure  ，Finance  ，China  ，Urbanization  ，Carbon emission trading  ，Market (economics)  ，Electricity generation  ，Efficient energy use  ，Innovation  ，Sustainable development  ，Energy transition  ，Consumerism  ，Gross domestic product  ，Policy  ，Economics  ，Sustainable transport  ，Carbon price  ，Manufacturing  ，Macroeconomics  ，Production (economics)  ，Carbon capture and storage  ，Emissions trading  ，Ecology  ，Strategy  ，Industrial Revolution  ，Fossil fuel  ，Variable renewable energy  ，Coal  ，Governance  ，Economy  ，Biodiversity  ，Belt and Road Initiative  ，World energy supply and consumption  ，Sustainable consumption  ，Modernization theory  ，Sustainable Development Goals  ，Climate governance  ，Meat  ，Fuel  ，Capital (economics)  ，Joseph Stiglitz  ，Natural capital  ，Wind power  ，Environmental degradation  ，Natural environment  ，Air pollution  ，Resource  ，Emission intensity  ，Car  ，Environmental impact of meat production  ，Developing country  ，Public transport  ，Externality  ，Plug-in electric vehicle  ，Productivity  ，Energy storage  ，Direct air capture  ，Green bond  ，Nature  ，Ecosystem service  ，Food security  ，Electrical grid  ，Subsidy  ，Institution  ，Environmental social science  ，Rail transport  ，Pollution  ，Economy of China  ，Pricing  ，System  ，Central bank  ，Factors of production  ，Risk  ，Tax  ，Carbon offset  ，Sustainable energy  ，Economic system  ，Health  ，Greenhouse gas inventory  ，Fertilizer  ，Smart city  ，Energy  ，Technology  ，Economy and the environment  ，Battery electric vehicle  ，Financial capital,https://www.lse.ac.uk/granthaminstitute/publication/embracing-the-new-paradigm-of-green-development/,
Policy citation,worldbank-0d63149243f92a572b77fbcc9e9c5138,Promoting Innovation to Decarbonize Industry in China,,World Bank,IGO,igo,,1/17/23,Challenges and opportunities for carbon neutrality in China,10.1038/s43017-021-00244-x,Supply chain  ，Productivity  ，Government procurement  ，World Bank  ，Energy  ，Life-cycle assessment  ，Low-carbon economy  ，Greenhouse gas emissions  ，Efficient energy use  ，Economic growth  ，Innovation  ，Carbon capture and storage  ，Emissions trading  ，Renewable energy  ，Carbon price  ，Subsidy  ，Green hydrogen  ，Infrastructure  ，International Energy Agency  ，Sustainable energy  ，European Union Emissions Trading System  ，Carbon neutrality  ，Tax  ，China  ，Fossil fuel  ，Environmental  ， social  ， and corporate governance  ，Research and development  ，Sustainable finance  ，Venture capital  ，Cement  ，Climate change mitigation  ，Energy conservation  ，Steel  ，Clean technology  ，European Union  ，Policy  ，Technology  ，Economy  ，Manufacturing  ，Heavy industry  ，Natural gas  ，Coal  ，Electrolysis  ，Finance  ，Funding  ，Greenhouse gas  ，Hydrogen  ，Green bond  ，Fuel  ，Steelmaking  ，Startup company  ，Hydrogen production  ，Biomass  ，Market (economics)  ，Intellectual property  ，Gross domestic product,https://openknowledge.worldbank.org/handle/10986/38488,
Policy citation,vtise-27da52f1bd55e3c1f6c6f2a0060ab0c1,Regeringsuppdrag om elektrifieringen av transporter : rekommendationer för att underlätta datadelning och nyttiggörande av data för planering， utveckling och drift av laddinfrastruktur och affärsmodeller,Government mandate on the electrification of transport: recommendations to facilitate data sharing and utilization of data for planning， development and operation of charging infrastructure and business models,VTI,Sweden,government,,1/9/23,Modeling the impact of EVs in the Chinese power system: Pathways for implementing emissions reduction commitments in the power and transportation sectors,10.1016/j.enpol.2020.111962,Electric car  ，European Union  ，Electricity market  ，Technology  ，Electric battery  ，Truck  ，Climate change  ，Economy  ，Competence (human resources)  ，Value chain,https://vti.diva-portal.org/smash/record.jsf?pid=diva2%3A1725636,
Name mention,unitednations-e91853bc3c2e9923c0cd7ea87ccc037d,Production Gap Report 2023 : Phasing down or phasing up? Top fossil fuel producers plan even more extraction despite climate promises,,United Nations,IGO,igo,,1/1/23,,,Climate change mitigation  ，Carbon capture and storage  ，Climate change  ，Greenhouse gas emissions  ，Fossil fuel  ，IPCC Sixth Assessment Report  ，Carbon neutrality  ，Energy transition  ，International Energy Agency  ，Bioenergy with carbon capture and storage  ，Coal  ，Renewable energy  ，Greenhouse gas  ，Paris Agreement  ，Fuel  ，2021 United Nations Climate Change Conference  ，Carbon budget  ，Carbon dioxide removal  ，Carbon sequestration  ，Petroleum  ，Carbon capture and utilization  ，Nationally determined contribution  ，United Nations Framework Convention on Climate Change  ，Nuclear power phase-out  ，Fossil fuel phase-out  ，Direct air capture  ，Liquefied natural gas  ，Natural gas  ，Energy  ，Natural environment  ，Nature  ，Politics of climate change  ，Low-carbon economy  ，Climate variability and change  ，Intergovernmental Panel on Climate Change  ，Environmental issues with fossil fuels  ，Environmental impact  ，Climate forcing  ，Methane  ，Natural resources  ，World energy supply and consumption  ，Global environmental issues  ，Chemistry  ，Societal collapse  ，Methane emissions  ，Economy  ，Fossil fuels  ，Greenhouse effect  ，Infrastructure  ，Global warming potential  ，Earth sciences  ，United Nations Climate Change conference  ，Carbon dioxide  ，Air pollution  ，Bioenergy  ，Energy crisis  ，Stranded asset  ，Environmental social science  ，Change,https://digitallibrary.un.org/record/4026849?ln=en,Cunha UFRJ， Rebecca Draeger UFRJ， Dimas Fauzi SEI， Emily Ghosh SEI， Kamila Godzinska E3G， Gang He City University of New York， Frank Jotzo The Australian National University， Bård Lahn University of Oslo， Michael Lazarus SEI， Yury Melnikov independent sustainable energy consultant; UNECE Task Force on Hydrogen， Tatiana Mitrova Columbia University， Yacob Mulugetta UCL， Anisha Nazareth SEI， James Ogunleye Carbon Limits Nigeria， Serik Orazgaliyev Nazarbayev University， Julia Paletta
